"","AU","TI","SO","DT","DT2","DI","SN","PN","PP","PU","VL","PY","DB","TC","CR","C1","AU_UN","SR_FULL","SR"
"M GOTKOWITZ MG, 2008, ","M GOTKOWITZ MG;K ELLICKSON KE;A CLARY AC;","EFFECT OF WELL DISINFECTION ON ARSENIC IN GROUND WATER","GROUNDWATER ",NA,"ARTICLE",NA,NA,NA,NA,"WILEY ONLINE LIBRARY",NA,2008,"ISI",NA,"none",NA,NA,"M GOTKOWITZ MG, 2008, ","M GOTKOWITZ MG, 2008, "
", 2003, ",";JS MAKI JSM;JA BENSON JAB;MLP COLLINS MLPC","DIRECT PCR DETECTION OF ESCHERICHIA COLI O157:H7","LETTERS IN APPLIED ",NA,"ARTICLE",NA,NA,NA,NA,"WILEY ONLINE LIBRARY",NA,2003,"ISI",NA,"none",NA,NA,", 2003, ",", 2003, "
", 1999, ",";KA FODE KAF;CC REMSEN CCR;MLP COLLINS MLPC","DETECTION OF METHANOTROPHS IN GROUNDWATER BY PCR","APPL. ENVIRON ",NA,"ARTICLE",NA,NA,NA,NA,"AM SOC MICROBIOL",NA,1999,"ISI",NA,"none",NA,NA,", 1999, ",", 1999, "
", 2004, ",";KA FODEVAUGHAN KAFV;MLP COLLINS MLPC","DETECTION OF HELICOBACTER PYLORI IN WATER BY DIRECT PCR","LETTERS IN APPLIED ",NA,"ARTICLE",NA,NA,NA,NA,"WILEY ONLINE LIBRARY",NA,2004,"ISI",NA,"none",NA,NA,", 2004, ",", 2004, "
"JF DROUGHT JFD, 1999, ","JF DROUGHT JFD;EA BUC EAB;TJ GRUNDL TJG;KA FODE KAF;MLP COLLINS MLPC","FATE OF TETRACHLOROETHENE AND BENZENE AT A DRY CLEANING FACILITY","PROCEEDINGS OF THE 5TH IN SITU ","CITATION","ARTICLE",NA,NA,NA,NA,NA,NA,1999,"ISI",NA,"none",NA,NA,"JF DROUGHT JFD, 1999, ","JF DROUGHT JFD, 1999, "
", 1998, -a",";JL HALSEY JLH;PD ANDERSON PDA;CC REMSEN CCR;MLP COLLINS MLPC","USE OF PCR TO DETECT PARTICULATE METHANE MONOOXYGENASE IN GROUNDWATER","98TH GENERAL MEETING OF THE ","CITATION","ARTICLE",NA,NA,NA,NA,NA,NA,1998,"ISI",NA,"none",NA,NA,", 1998, ",", 1998, -a"
"MLP COLLINS MLPC, 2001, ","MLP COLLINS MLPC","MONITORING: EVALUATION OF THE ABUNDANCE, DIVERSITY, AND ACTIVITY OF METHANOTROPH POPULATIONS IN GROUNDWATER, JULY 1998-JUNE 2000",NA,"CITATION","BOOK",NA,NA,NA,NA,"UNIVERSITY OF WISCONSIN WATER ",NA,2001,"ISI",NA,"none",NA,NA,"MLP COLLINS MLPC, 2001, ","MLP COLLINS MLPC, 2001, "
"JA SNOWDON JAS, 1989, ","JA SNOWDON JAS;DO CLIVER DOC;","LAND DISPOSAL OF MIXED HUMAN AND ANIMAL WASTES: A REVIEW","WASTE MANAGEMENT \&",NA,"ARTICLE",NA,NA,NA,NA,"JOURNALS.SAGEPUB.COM",NA,1989,"ISI",NA,"none",NA,NA,"JA SNOWDON JAS, 1989, ","JA SNOWDON JAS, 1989, "
"EJ TYLER EJT, 1994, ","EJ TYLER EJT;JC CONVERSE JCC","SOIL ACCEPTANCE OF ONSITE WASTEWATER AS AFFECTED BY SOIL MORPHOLOGY AND WASTEWATER QUALITY","PROCEEDINGS OF THE 7TH NATIONAL SYMPOSIUM ON","CITATION","ARTICLE",NA,NA,NA,NA,NA,NA,1994,"ISI",NA,"none",NA,NA,"EJ TYLER EJT, 1994, ","EJ TYLER EJT, 1994, "
"DR BOHNHOFF DRB, 1987, ","DR BOHNHOFF DRB;JC CONVERSE JCC","ENGINEERING PROPERTIES OF SEPARATED MANURE SOLIDS","BIOLOGICAL WASTES",NA,"ARTICLE",NA,NA,NA,NA,"ELSEVIER",NA,1987,"ISI",NA,"none",NA,NA,"DR BOHNHOFF DRB, 1987, ","DR BOHNHOFF DRB, 1987, "
"JC CONVERSE JCC, 1990, ","JC CONVERSE JCC;EJ TYLER EJT","WISCONSIN MOUND SOIL ABSORPTION SYSTEM SITING, DESIGN AND CONSTRUCTION MANUAL",NA,"BOOK","BOOK",NA,NA,NA,NA,"LEGACY.AZDEQ.GOV",NA,1990,"ISI",NA,"none",NA,NA,"JC CONVERSE JCC, 1990, ","JC CONVERSE JCC, 1990, "
"EW HARMSEN EWH, 1991, ","EW HARMSEN EWH;JC CONVERSE JCC;MP ANDERSON MPA;","A MODEL FOR EVALUATING THE THREE-DIMENSIONAL GROUNDWATER DIVIDING PATHLINE BETWEEN A CONTAMINANT SOURCE AND A PARTIALLY PENETRATING WATER-SUPPLY WELL","JOURNAL OF CONTAMINANT",NA,"ARTICLE",NA,NA,NA,NA,"ELSEVIER",NA,1991,"ISI",NA,"none",NA,NA,"EW HARMSEN EWH, 1991, ","EW HARMSEN EWH, 1991, "
"JC CONVERSE JCC, 1998, ","JC CONVERSE JCC;EJ TYLER EJT","SOIL TREATMENT OF AEROBICALLY TREATED DOMESTIC WASTEWATER WITH EMPHASIS ON MODIFIED MOUNDS","ON-SITE WASTEWATER TREATMENT. PROCEEDINGS OF THE","CITATION","ARTICLE",NA,NA,NA,NA,NA,NA,1998,"ISI",NA,"none",NA,NA,"JC CONVERSE JCC, 1998, ","JC CONVERSE JCC, 1998, "
"JC CONVERSE JCC, 1987, ","JC CONVERSE JCC;EJ TYLER EJT","ON-SITE WASTEWATER TREATMENT USING WISCONSIN MOUNDS ON DIFFICULT SITES","TRANSACTIONS OF THE ASAE",NA,"ARTICLE",NA,NA,NA,NA,"ELIBRARY.ASABE.ORG",NA,1987,"ISI",NA,"none",NA,NA,"JC CONVERSE JCC, 1987, ","JC CONVERSE JCC, 1987, "
"JA SNOWDON JAS, 1989, -a","JA SNOWDON JAS;DO CLIVER DOC;JC CONVERSE JCC","INACTIVATION OF POLIOVIRUS 1, AS A FUNCTION OF TEMPERATURE, IN MIXED HUMAN AND DAIRY ANIMAL WASTES","WASTE MANAGEMENT \& RESEARCH",NA,"ARTICLE",NA,NA,NA,NA,"ELSEVIER",NA,1989,"ISI",NA,"none",NA,NA,"JA SNOWDON JAS, 1989, ","JA SNOWDON JAS, 1989, -a"
"JC CONVERSE JCC, 1998, -a","JC CONVERSE JCC;MM CONVERSE MMC;DM SIEVERS DMS","PUMP CHAMBER EFFLUENT QUALITY FOLLOWING AEROBIC UNITS AND SAND FILTERS SERVING RESIDENCES","OF THE EIGHTH NATIONAL SYMPOSIUM ON","CITATION","ARTICLE",NA,NA,NA,NA,NA,NA,1998,"ISI",NA,"none",NA,NA,"JC CONVERSE JCC, 1998, ","JC CONVERSE JCC, 1998, -a"
"MM CONVERSE MMC, 1999, ","MM CONVERSE MMC;JC CONVERSE JCC;EJ TYLER EJT","SAND FILTER EVALUATION IN A NORTHERN CLIMATE","RESEARCH FUNDED BY SMALL","PDF","ARTICLE",NA,NA,NA,NA,"SOILS.WISC.EDU",NA,1999,"ISI",NA,"none",NA,NA,"MM CONVERSE MMC, 1999, ","MM CONVERSE MMC, 1999, "
"JC CONVERSE JCC, 1994, ","JC CONVERSE JCC;EJ TYLER EJT;SG LITMAN SGL","NITROGEN AND FECAL COLIFORM REMOVAL IN WISCONSIN MOUND SYSTEMS","ON-SITE WASTEWATER TREATMENT. PROCEEDINGS OF","CITATION","ARTICLE",NA,NA,NA,NA,NA,NA,1994,"ISI",NA,"none",NA,NA,"JC CONVERSE JCC, 1994, ","JC CONVERSE JCC, 1994, "
"JC CONVERSE JCC, 2004, ","JC CONVERSE JCC","EFFLUENT QUALITY FROM ATUS AND PACKED BED FILTERS RECEIVING DOMESTIC WASTEWATER UNDER FIELD CONDITIONS","ON-SITE WASTEWATER TREATMENT X, 21-24 MARCH",NA,"ARTICLE",NA,NA,NA,NA,"ELIBRARY.ASABE.ORG",NA,2004,"ISI",NA,"none",NA,NA,"JC CONVERSE JCC, 2004, ","JC CONVERSE JCC, 2004, "
"EW HARMSEN EWH, 1991, -a","EW HARMSEN EWH;JC CONVERSE JCC;MP ANDERSON MPA","APPLICATION OF THE MONTE CARLO SIMULATION PROCEDURE TO ESTIMATE WATER-SUPPLY WELL/SEPTIC TANK-DRAINFIELD SEPARATION DISTANCES IN THE CENTRAL WISCONSIN SAND PLAIN","JOURNAL OF CONTAMINANT",NA,"ARTICLE",NA,NA,NA,NA,"ELSEVIER",NA,1991,"ISI",NA,"none",NA,NA,"EW HARMSEN EWH, 1991, ","EW HARMSEN EWH, 1991, -a"
"TL LOUDON TLL, 2004, ","TL LOUDON TLL;TR BOUNDS TRB;","NITROGEN REMOVAL AND OTHER PERFORMANCE FACTORS IN RECIRCULATING SAND FILTERS","ON-SITE WASTEWATER",NA,"ARTICLE",NA,NA,NA,NA,"ELIBRARY.ASABE.ORG",NA,2004,"ISI",NA,"none",NA,NA,"TL LOUDON TLL, 2004, ","TL LOUDON TLL, 2004, "
"JC CONVERSE JCC, 2004, -a","JC CONVERSE JCC","CHALLENGES FACING THE ON-SITE WASTEWATER INDUSTRY","ON-SITE WASTEWATER TREATMENT X, 21-24 MARCH","CITATION","ARTICLE",NA,NA,NA,NA,"ELIBRARY.ASABE.ORG",NA,2004,"ISI",NA,"none",NA,NA,"JC CONVERSE JCC, 2004, ","JC CONVERSE JCC, 2004, -a"
"JC CONVERSE JCC, 1987, -a","JC CONVERSE JCC;EJ TYLER EJT","INSPECTING AND TROUBLESHOOTING WISCONSIN MOUNDS","PUBLICATION-UNIVERSITY OF WISCONSIN","CITATION","ARTICLE",NA,NA,NA,NA,"AGRIS.FAO.ORG",NA,1987,"ISI",NA,"none",NA,NA,"JC CONVERSE JCC, 1987, ","JC CONVERSE JCC, 1987, -a"
"EJ TYLER EJT, 1986, ","EJ TYLER EJT;JC CONVERSE JCC;DE PARKER DEP","SOIL SYSTEMS FOR COMMUNITY WASTEWATER DISPOSALTREATMENT AND ABSORPTION CASE HISTORIES","LAKE AND RESERVOIR",NA,"ARTICLE",NA,NA,NA,NA,"TAYLOR \& FRANCIS",NA,1986,"ISI",NA,"none",NA,NA,"EJ TYLER EJT, 1986, ","EJ TYLER EJT, 1986, "
"DR BOHNHOFF DRB, 1987, -a","DR BOHNHOFF DRB;JC CONVERSE JCC","WATER DESORPTION PROPERTIES OF SEPARATED MANURE SOLIDS","BIOLOGICAL WASTES",NA,"ARTICLE",NA,NA,NA,NA,"ELSEVIER",NA,1987,"ISI",NA,"none",NA,NA,"DR BOHNHOFF DRB, 1987, ","DR BOHNHOFF DRB, 1987, -a"
"JC CONVERSE JCC, 1995, ","JC CONVERSE JCC;EJ TYLER EJT","AEROBICALLY TREATED DOMESTIC WASTEWATER TO RENOVATE FAILING SEPTIC TANK-SOIL ABSORPTION FIELDS","8TH NORTHWEST ON-SITE WASTEWATER TREATMENT SHORT","CITATION","ARTICLE",NA,NA,NA,NA,NA,NA,1995,"ISI",NA,"none",NA,NA,"JC CONVERSE JCC, 1995, ","JC CONVERSE JCC, 1995, "
"JC CONVERSE JCC, 2000, ","JC CONVERSE JCC","PRESSURE DISTRIBUTION NETWORK DESIGN","SMALL SCALE WASTE MANAGEMENT PROJECT","PDF","ARTICLE",NA,NA,NA,NA,"SOILS.WISC.EDU",NA,2000,"ISI",NA,"none",NA,NA,"JC CONVERSE JCC, 2000, ","JC CONVERSE JCC, 2000, "
"JC CONVERSE JCC, 1986, ","JC CONVERSE JCC;EJ TYLER EJT","THE WISCONSIN MOUND SYSTEM: SITING, DESIGN, AND CONSTRUCTION",NA,"CITATION","BOOK",NA,NA,NA,NA,"UNIVERSITY OF WISCONSIN-MADISON",NA,1986,"ISI",NA,"none",NA,NA,"JC CONVERSE JCC, 1986, ","JC CONVERSE JCC, 1986, "
"EM BLASING EMB, 2004, ","EM BLASING EMB;JC CONVERSE JCC","EFFLUENT QUALITY IN SATURATED MOUND AND MODIFIED MOUND TOES RECEIVING SEPTIC TANK OR AEROBICALLY TREATED DOMESTIC WASTEWATER","ON-SITE WASTEWATER TREATMENT X, 21",NA,"ARTICLE",NA,NA,NA,NA,"ELIBRARY.ASABE.ORG",NA,2004,"ISI",NA,"none",NA,NA,"EM BLASING EMB, 2004, ","EM BLASING EMB, 2004, "
"JC CONVERSE JCC, 1997, ","JC CONVERSE JCC;EJ TYLER EJT","SOIL DISPERSAL UNITS WITH EMPHASIS ON AEROBICALLY TREATED DOMESTIC EFFLUENT","SMALL SCALE WASTE MANAGEMENT PROJECT, UNIVERSITY OF","CITATION","ARTICLE",NA,NA,NA,NA,NA,NA,1997,"ISI",NA,"none",NA,NA,"JC CONVERSE JCC, 1997, ","JC CONVERSE JCC, 1997, "
"JM POWELL JMP, 1998, ","JM POWELL JMP;LD SATTER LDS;JC CONVERSE JCC;","A SYSTEMS APPROACH TO IMPROVING PHOSPHORUS MANAGEMENT ON DAIRY FARMS","CONFERENCE'. AMES IOWA","HTML","ARTICLE",NA,NA,NA,NA,"P2INFOHOUSE.ORG",NA,1998,"ISI",NA,"none",NA,NA,"JM POWELL JMP, 1998, ","JM POWELL JMP, 1998, "
"JC CONVERSE JCC, 1992, ","JC CONVERSE JCC;EJ TYLER EJT","EFFLUENT QUALITY UNDER SATURATED CONDITIONS FOR WISCONSIN MOUND SYSTEMS","SMALL SCALE WASTE MANAGEMENT PROJECT","CITATION","ARTICLE",NA,NA,NA,NA,NA,NA,1992,"ISI",NA,"none",NA,NA,"JC CONVERSE JCC, 1992, ","JC CONVERSE JCC, 1992, "
"JC CONVERSE JCC, 2004, -a-b","JC CONVERSE JCC;EV NORDHEIM EVN","SAMPLING PROTOCOL FOR EVALUATING AERATION SYSTEMS FOR THEIR ABILITY TO CONSISTENTLY PRODUCE AN EFFLUENT TO A PRESCRIBED PARAMETER VALUE","SITE WASTEWATER TREATMENT X, 21-24",NA,"ARTICLE",NA,NA,NA,NA,"ELIBRARY.ASABE.ORG",NA,2004,"ISI",NA,"none",NA,NA,"JC CONVERSE JCC, 2004, ","JC CONVERSE JCC, 2004, -a-b"
"JC CONVERSE JCC, 1998, -a-b","JC CONVERSE JCC","LINEAR LOADING RATES FOR ON-SITE SYSTEMS","SMALL SCALE WASTE MANAGEMENT PROJECT",NA,"ARTICLE",NA,NA,NA,NA,"SOILS.WISC.EDU",NA,1998,"ISI",NA,"none",NA,NA,"JC CONVERSE JCC, 1998, ","JC CONVERSE JCC, 1998, -a-b"
"TL LOUDON TLL, 2003, ","TL LOUDON TLL;TR BOUNDS TRB;JC CONVERSE JCC;","UNIVERSITY CURRICULUM DEVELOPMENT FOR DECENTRALIZED WASTEWATER MANAGEMENT","FILTERS, MODULE TEXT","PDF","ARTICLE",NA,NA,NA,NA,"ONSITECONSORTIUM.ORG",NA,2003,"ISI",NA,"none",NA,NA,"TL LOUDON TLL, 2003, ","TL LOUDON TLL, 2003, "
"JC CONVERSE JCC, 1999, ","JC CONVERSE JCC;EJ TYLER EJT","SMA11 SCALE WASTE MANAGEMENT PROJECT",NA,NA,"BOOK",NA,NA,NA,NA,"SOILS.WISC.EDU",NA,1999,"ISI",NA,"none",NA,NA,"JC CONVERSE JCC, 1999, ","JC CONVERSE JCC, 1999, "
"JC CONVERSE JCC, 2002, ","JC CONVERSE JCC;KG KARTHIKEYAN KGK","NUTRIENT AND SOLIDS SEPARATION OF FLUSHED DAIRY MANURE BY SETTLING","2002 ASAE ANNUAL MEETING",NA,"ARTICLE",NA,NA,NA,NA,"ELIBRARY.ASABE.ORG",NA,2002,"ISI",NA,"none",NA,NA,"JC CONVERSE JCC, 2002, ","JC CONVERSE JCC, 2002, "
"JO PETERSON JOP, 1991, ","JO PETERSON JOP;JC CONVERSE JCC;EJ TYLER EJT","ASSESSING THE RISK OF GROUNDWATER CONTAMINATION FROM HOUSEHOLD WASTEWATER TREATMENT",NA,"CITATION","BOOK",NA,NA,NA,NA,"AGRIS.FAO.ORG",NA,1991,"ISI",NA,"none",NA,NA,"JO PETERSON JOP, 1991, ","JO PETERSON JOP, 1991, "
"JC CONVERSE JCC, NA, ","JC CONVERSE JCC","FIELD PERFORMANCE OF AERATION UNITS RECEIVING DOMESTIC WASTEWATER","082511A.MEMBERSHIPSOFTWARE.ORG","PDF","ARTICLE",NA,NA,NA,NA,NA,NA,NA,"ISI",NA,"none",NA,NA,"JC CONVERSE JCC, NA, ","JC CONVERSE JCC, NA, "
"J C CONVERSE JC, 1990, ","J C CONVERSE JC;EJ TYLER EJT","WISCONSIN MOUND SOIL ABSORPTION SYSTEM SITING, DESIGN AND CONSTRUCTION MANUAL",NA,"CITATION","BOOK",NA,NA,NA,NA,"AND LIFE SCIENCES, SCHOOL OF NATURAL",NA,1990,"ISI",NA,"none",NA,NA,"J C CONVERSE JC, 1990, ","J C CONVERSE JC, 1990, "
"T LOUDON TL, NA, ","T LOUDON TL;LTR BOUNDS LTRB;JC CONVERSE JCC;J BUCHANAN JB","PACKED BED FILTERS",NA,"CITATION","MISC",NA,NA,NA,NA,NA,NA,NA,"ISI",NA,"none",NA,NA,"T LOUDON TL, NA, ","T LOUDON TL, NA, "
"JC CONVERSE JCC, NA, -a","JC CONVERSE JCC","DESIGNING AND INSTALLING FOR EASE OF MAINTENANCE AND IMPROVING SYSTEM LONGEVITY","082511A.MEMBERSHIPSOFTWARE.ORG","PDF","ARTICLE",NA,NA,NA,NA,NA,NA,NA,"ISI",NA,"none",NA,NA,"JC CONVERSE JCC, NA, ","JC CONVERSE JCC, NA, -a"
"JC CONVERSE JCC, 1990, -a","JC CONVERSE JCC","WISCONSIN MOUND SOIL ABSORPTION SYSTEMS SITING, DESIGN AND CONSTRUCTION MANUAL. SMALL SCALE WASTE MANAGEMENT PROJECT",NA,"CITATION","BOOK",NA,NA,NA,NA,"CITESEER",NA,1990,"ISI",NA,"none",NA,NA,"JC CONVERSE JCC, 1990, ","JC CONVERSE JCC, 1990, -a"
"JC CONVERSE JCC, 2003, ","JC CONVERSE JCC","ANNUAL MEETNG PAPER ROOM YIELDS TO MODERN TECHNOLOGY","RESOURCE","CITATION","ARTICLE",NA,NA,NA,NA,"ELIBRARY.RU",NA,2003,"ISI",NA,"none",NA,NA,"JC CONVERSE JCC, 2003, ","JC CONVERSE JCC, 2003, "
"SE COWELL SEC, 1992, ","SE COWELL SEC","FOLLOW UP TO THE GRADE A DAIRY FARM WELL WATER QUALITY SURVEY",NA,"CITATION","BOOK",NA,NA,NA,NA,"WISCONSIN DEPARTMENT OF NATURAL ",NA,1992,"ISI",NA,"none",NA,NA,"SE COWELL SEC, 1992, ","SE COWELL SEC, 1992, "
"CLW CRUCIANI CLWC, 1987, -a","CLW CRUCIANI CLWC;DS CHERKAUER DSC","THE PREDICTION OF NITRATE CONTAMINATION POTENTIAL USING KNOWN HYDROGEOLOGIC PROPERTIES",NA,"CITATION","BOOK",NA,NA,NA,NA,"WISCONSIN DEPARTMENT OF NATURAL",NA,1987,"ISI",NA,"none",NA,NA,"CLW CRUCIANI CLWC, 1987, ","CLW CRUCIANI CLWC, 1987, -a"
"D CURWEN DC, 1990, ","D CURWEN DC","DEMONSTRATION OF LOW INPUT STRATEGIES FOR POTATO/VEGETABLE PRODUCTION ON IRRIGATED SANDS",NA,"CITATION","BOOK",NA,NA,NA,NA,"AGRIS.FAO.ORG",NA,1990,"ISI",NA,"none",NA,NA,"D CURWEN DC, 1990, ","D CURWEN DC, 1990, "
"RC WIETERSEN RCW, 1993, ","RC WIETERSEN RCW;TC DANIEL TCD;","ATRAZINE, ALACHLOR, AND METOLACHLOR MOBILITY THROUGH TWO SANDY WISCONSIN SOILS","JOURNAL OF ",NA,"ARTICLE",NA,NA,NA,NA,"DL.SCIENCESOCIETIES.ORG",NA,1993,"ISI",NA,"none",NA,NA,"RC WIETERSEN RCW, 1993, ","RC WIETERSEN RCW, 1993, "
"KJ FERMANICH KJF, 1991, ","KJ FERMANICH KJF;TC DANIEL TCD","PESTICIDE MOBILITY AND PERSISTENCE IN MICROLYSIMETER SOIL COLUMNS FROM A TILLED AND NO-TILLED PLOT","JOURNAL OF ENVIRONMENTAL QUALITY",NA,"ARTICLE",NA,NA,NA,NA,"DL.SCIENCESOCIETIES.ORG",NA,1991,"ISI",NA,"none",NA,NA,"KJ FERMANICH KJF, 1991, ","KJ FERMANICH KJF, 1991, "
"KJ FERMANICH KJF, 1991, -a","KJ FERMANICH KJF;TC DANIEL TCD;","MICROLYSIMETER SOIL COLUMNS FOR EVALUATING PESTICIDE MOVEMENT THROUGH THE ROOT ZONE","JOURNAL OF ENVIRONMENTAL ",NA,"ARTICLE",NA,NA,NA,NA,"DL.SCIENCESOCIETIES.ORG",NA,1991,"ISI",NA,"none",NA,NA,"KJ FERMANICH KJF, 1991, ","KJ FERMANICH KJF, 1991, -a"
", 1990, -a-b",";KJ FERMANICH KJF;TC DANIEL TCD","COMPARISON OF THE PESTICIDE ROOT ZONE MODEL SIMULATED AND MEASURED PESTICIDE MOBILITY UNDER TWO TILLAGE SYSTEMS","JOURNAL OF ENVIRONMENTAL ",NA,"ARTICLE",NA,NA,NA,NA,"DL.SCIENCESOCIETIES.ORG",NA,1990,"ISI",NA,"none",NA,NA,", 1990, ",", 1990, -a-b"
"RC WIETERSEN RCW, 1993, -a","RC WIETERSEN RCW;TC DANIEL TCD;","IRRIGATION AND POLYMER EFFECTS ON HERBICIDE TRANSPORT THROUGH THE UNSATURATED ZONE OF A SPARTA SAND","JOURNAL OF ",NA,"ARTICLE",NA,NA,NA,NA,"DL.SCIENCESOCIETIES.ORG",NA,1993,"ISI",NA,"none",NA,NA,"RC WIETERSEN RCW, 1993, ","RC WIETERSEN RCW, 1993, -a"
"GR EYKHOLT GRE, 1998, ","GR EYKHOLT GRE;DT DAVENPORT DTD","DECHLORINATION OF THE CHLOROACETANILIDE HERBICIDES ALACHLOR AND METOLACHLOR BY IRON METAL","ENVIRONMENTAL SCIENCE \& TECHNOLOGY",NA,"ARTICLE",NA,NA,NA,NA,"ACS PUBLICATIONS",NA,1998,"ISI",NA,"none",NA,NA,"GR EYKHOLT GRE, 1998, ","GR EYKHOLT GRE, 1998, "
"DB DELUCA DBDL, 1990, ","DB DELUCA DBDL","ANALYTICAL DETERMINATION OF ATRAINZE, ALACHLOR AND THEIR SELECTED DEGRADATION PRODUCTS IN CONTAMINATED GROUNDWATER: IMPLICATIONS FOR WISCONSIN ",NA,"CITATION","BOOK",NA,NA,NA,NA,"UNIVERSITY OF WISCONSIN--MADISON",NA,1990,"ISI",NA,"none",NA,NA,"DB DELUCA DBDL, 1990, ","DB DELUCA DBDL, 1990, "
"TM NEESON TMN, 2015, ","TM NEESON TMN;MC FERRIS MCF;MW DIEBEL MWD;","ENHANCING ECOSYSTEM RESTORATION EFFICIENCY THROUGH SPATIAL AND TEMPORAL COORDINATION","PROCEEDINGS OF THE",NA,"ARTICLE",NA,NA,NA,NA,"NATIONAL ACAD SCIENCES",NA,2015,"ISI",NA,"none",NA,NA,"TM NEESON TMN, 2015, ","TM NEESON TMN, 2015, "
", 2018, ",";AT MOODY ATM;JR O HANLEY JROH;M DIEBEL MD;","AGING INFRASTRUCTURE CREATES OPPORTUNITIES FOR COSTEFFICIENT RESTORATION OF AQUATIC ECOSYSTEM CONNECTIVITY","ECOLOGICAL",NA,"ARTICLE",NA,NA,NA,NA,"WILEY ONLINE LIBRARY",NA,2018,"ISI",NA,"none",NA,NA,", 2018, ",", 2018, "
"SR JANUCHOWSKI-HARTLEY SRJH, NA, ","SR JANUCHOWSKI HARTLEY SRJH;M DIEBEL MD;PB MCINTYRE PBMI;","PREDICTING ROAD CULVERT PASSABILITY FOR MIGRATORY FISHES IN THE GREAT LAKES BASIN","RESEARCHGATE.NET",NA,"ARTICLE",NA,NA,NA,NA,NA,NA,NA,"ISI",NA,"none",NA,NA,"SR JANUCHOWSKI-HARTLEY SRJH, NA, ","SR JANUCHOWSKI-HARTLEY SRJH, NA, "
"KC ROSE KCR, 2017, ","KC ROSE KCR;SR GREB SRG;M DIEBEL MD;","ANNUAL PRECIPITATION REGULATES SPATIAL AND TEMPORAL DRIVERS OF LAKE WATER CLARITY","ECOLOGICAL",NA,"ARTICLE",NA,NA,NA,NA,"WILEY ONLINE LIBRARY",NA,2017,"ISI",NA,"none",NA,NA,"KC ROSE KCR, 2017, ","KC ROSE KCR, 2017, "
"A SCHWARZENEGGER AS, 1998, ","A SCHWARZENEGGER AS;B DOBBINS BD","THE NEW ENCYCLOPEDIA OF MODERN BODYBUILDING",NA,"BOOK","BOOK",NA,NA,NA,NA,"BOOKS.GOOGLE.COM",NA,1998,"ISI",NA,"none",NA,NA,"A SCHWARZENEGGER AS, 1998, ","A SCHWARZENEGGER AS, 1998, "
"GR JEFFERS GRJEFFERS, 1998, ","GR JEFFERS GRJEFFERS;B DOBBINS BDOBBINS;BOB CLUBB BOBCLUBB;","JAMES VASILE ROGER A. BRADEN STEPTOE \& JOHNSON RICHARD A. NASON 1330 CONNECTICUT AVENUE NW STEVE HAYS WASHINGTON, DC ",NA,"CITATION","MISC",NA,NA,NA,NA,NA,NA,1998,"ISI",NA,"none",NA,NA,"GR JEFFERS GRJEFFERS, 1998, ","GR JEFFERS GRJEFFERS, 1998, "
"B DOBBINS BD, 2012, ","B DOBBINS BD;DM DOBBINS DMD","DEPARTMENT OF ECOLOGY",NA,"PDF","BOOK",NA,NA,NA,NA,"DOUGLASPUD.ORG",NA,2012,"ISI",NA,"none",NA,NA,"B DOBBINS BD, 2012, ","B DOBBINS BD, 2012, "
"DD IGNACE DDI, 2011, ","DD IGNACE DDI;SI DODSON SID;DR KASHIAN DRK","IDENTIFICATION OF THE CRITICAL TIMING OF SEX DETERMINATION IN DAPHNIA MAGNA (CRUSTACEA, BRANCHIOPODA) FOR USE IN TOXICOLOGICAL STUDIES","HYDROBIOLOGIA","HTML","ARTICLE",NA,NA,NA,NA,"SPRINGER",NA,2011,"ISI",NA,"none",NA,NA,"DD IGNACE DDI, 2011, ","DD IGNACE DDI, 2011, "
"SI DODSON SID, 2002, ","SI DODSON SID","EFFECT OF CLEAN AND POLLUTED GROUNDWATER ON REPRODUCTION AND DEVELOPMENT OF DAPHNIA",NA,"BOOK","BOOK",NA,NA,NA,NA,"PDFS.SEMANTICSCHOLAR.ORG",NA,2002,"ISI",NA,"none",NA,NA,"SI DODSON SID, 2002, ","SI DODSON SID, 2002, "
"FJ DORAN FJD, 1985, ","FJ DORAN FJD;WC BOYLE WCB;DK SAUER DKS;PM BERTHOUEX PMB","NITROGEN TRANSFORMATIONS AND REDUCTION BY RIDGE AND FURROW TREATMENT OF DAIRY WASTE","PROC. 40TH IND. WASTE CONF., PURDUE ","CITATION","ARTICLE",NA,NA,NA,NA,NA,NA,1985,"ISI",NA,"none",NA,NA,"FJ DORAN FJD, 1985, ","FJ DORAN FJD, 1985, "
"FJ DORAN FJD, 1985, -a","FJ DORAN FJD;DK SAUER DKS;WC BOYLE WCB;","NITROGEN TRANSFORMATIONS AND REDUCTION BY RIDGE AND FURROW LAND TREATMENT OF DAIRY WASTE","PROCEEDINGS OF THE ","CITATION","ARTICLE",NA,NA,NA,NA,"AGRIS.FAO.ORG",NA,1985,"ISI",NA,"none",NA,NA,"FJ DORAN FJD, 1985, ","FJ DORAN FJD, 1985, -a"
"FJ DORAN FJD, 1985, -a-b","FJ DORAN FJD","TREATMENT OF CHEESE PROCESSING WASTEWATER BY RIDGE AND FURROW DISPOSAL-NITROGEN TRANSFORMATION",NA,"CITATION","BOOK",NA,NA,NA,NA,"WISCONSIN DEPARTMENT OF NATURAL ",NA,1985,"ISI",NA,"none",NA,NA,"FJ DORAN FJD, 1985, ","FJ DORAN FJD, 1985, -a-b"
