"","AU","TI","SO","DT","DT2","DI","SN","PN","PP","PU","VL","PY","DB","TC","CR","C1","AU_UN","SR_FULL","SR"
"MH MEYER MHM, 2005, ","MH MEYER MHM;DE ARMSTRONG DEA;CL BABIARZ CLB","PROJECT REPORT ROLE OF THE HYPORHEIC ZONE IN METHYL MERCURY PRODUCTION AND TRANSPORT TO LAKE SUPERIOR",NA,"PDF","BOOK",NA,NA,NA,NA,"PDFS.SEMANTICSCHOLAR.ORG",NA,2005,"ISI",NA,"none",NA,NA,"MH MEYER MHM, 2005, ","MH MEYER MHM, 2005, "
"DE ARMSTRONG DEA, 2001, ","DE ARMSTRONG DEA;RJ NOLL RJN","ON-LINE SFE/GC FOR IMPROVED DETECTION OF TRACE ORGANIC POLLUTANTS IN GROUND WATER MONITORING",NA,"BOOK","BOOK",NA,NA,NA,NA,"PDFS.SEMANTICSCHOLAR.ORG",NA,2001,"ISI",NA,"none",NA,NA,"DE ARMSTRONG DEA, 2001, ","DE ARMSTRONG DEA, 2001, "
"DE ARMSTRONG DEA, 2006, -a","DE ARMSTRONG DEA;CL BABIARZ CLB;MM SHAFER MMS;SC KERR SCK","MERCURY SPECIATION ALONG A GROUNDWATER FLOWPATH: SUBTITLE",NA,"CITATION","BOOK",NA,NA,NA,NA,"UNIVERSITY OF WISCONSIN, WATER ",NA,2006,"ISI",NA,"none",NA,NA,"DE ARMSTRONG DEA, 2006, ","DE ARMSTRONG DEA, 2006, -a"
"MM SHAFER MMS, 2009, ","MM SHAFER MMS;CL BARBIARZ CLB;DE ARMSTRONG DEA;","CONTROLS ON METHYLATION OF GROUNDWATER HG (II) ON HYPORHEIC ZONES OF WETLANDS",NA,"CITATION","BOOK",NA,NA,NA,NA,"UNIVERSITY OF WISCONSIN, WATER ",NA,2009,"ISI",NA,"none",NA,NA,"MM SHAFER MMS, 2009, ","MM SHAFER MMS, 2009, "
"S ZELMANOWITZ SZ, 1992, ","S ZELMANOWITZ SZ;WC BOYLE WCB;DE ARMSTRONG DEA;JK PARK JKP","THE ABILITY OF SUBSOILS TO ATTENUATE METALS IN COAL PILE LEACHATE.[IN GROUND WATER IN SOILS]",NA,NA,"BOOK",NA,NA,NA,NA,"OSTI.GOV",NA,1992,"ISI",NA,"none",NA,NA,"S ZELMANOWITZ SZ, 1992, ","S ZELMANOWITZ SZ, 1992, "
", 1997, ",";AW ANDREN AWA;DE ARMSTRONG DEA","SILVER- DOM INTERACTIONS IN NATURAL WATERS: PRELIMINARY RESULTS"," : PROCEEDINGS OF THE 5 TH ","PDF","ARTICLE",NA,NA,NA,NA,"IMAGES.LIBRARY.WISC.EDU",NA,1997,"ISI",NA,"none",NA,NA,", 1997, ",", 1997, "
"WA SAUCK WAS, 1991, ","WA SAUCK WAS;JW ATTIG JWA","SEISMIC REFLECTION/REFRACTION RECONNAISSANCE SURVEY TO MEASURE PLEISTOCENE SAND AQUIFER THICKNESS ALONG THE LOWER WISCONSIN RIVER VALLEY","SYMPOSIUM ON THE APPLICATION OF GEOPHYSICS TO ",NA,"ARTICLE",NA,NA,NA,NA,"LIBRARY.SEG.ORG",NA,1991,"ISI",NA,"none",NA,NA,"WA SAUCK WAS, 1991, ","WA SAUCK WAS, 1991, "
"JOEL E. CRESWELL JEC, 2017, ","JOEL E CRESWELL JEC;MARTIN M SHAFER MMS;CHRISTOPHER L BABIARZ CLB;SUE ZANNE TAN SZT;ABBEY L MUSINSKY ALM;TREVOR H SCHOTT THS;ERIC E RODEN EER;DAVID E ARMSTRONG DEA","BIOGEOCHEMICAL CONTROLS ON MERCURY METHYLATION IN THE ALLEQUASH CREEK WETLAND","ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH","JOURNAL-ARTICLE","ARTICLE","10.1007/S11356-017-9094-2","0944-1344","18","15325--15339","SPRINGER SCIENCE AND BUSINESS MEDIA LLC","24",2017,"ISI",NA,"none",NA,NA,"JOEL E. CRESWELL JEC, 2017, ","JOEL E. CRESWELL JEC, 2017, "
"JOEL E. CRESWELL JEC, 2008, ","JOEL E CRESWELL JEC;SARA C KERR SCK;MATTHEW H MEYER MHM;CHRISTOPHER L BABIARZ CLB;MARTIN M SHAFER MMS;DAVID E ARMSTRONG DEA;ERIC E RODEN EER","FACTORS CONTROLLING TEMPORAL AND SPATIAL DISTRIBUTION OF TOTAL MERCURY AND METHYLMERCURY IN HYPORHEIC SEDIMENTS OF THE ALLEQUASH CREEK WETLAND, NORTHERN WISCONSIN","JOURNAL OF GEOPHYSICAL RESEARCH: BIOGEOSCIENCES","JOURNAL-ARTICLE","ARTICLE","10.1029/2008JG000742","0148-0227",NA,NA,"AMERICAN GEOPHYSICAL UNION (AGU)","113",2008,"ISI",NA,"none",NA,NA,"JOEL E. CRESWELL JEC, 2008, ","JOEL E. CRESWELL JEC, 2008, "
"F BAILEY FB, 1986, ","F BAILEY FB","PLOVER AREA NITRATE STUDY 1986",NA,"CITATION","BOOK",NA,NA,NA,NA,"WISCONSIN DEPARTMENT OF NATURAL ",NA,1986,"ISI",NA,"none",NA,NA,"F BAILEY FB, 1986, ","F BAILEY FB, 1986, "
"C DUNNING CD, 2003, ","C DUNNING CD;R BANNERMAN RB","MONITORING CONTAMINANT TRANSPORT FROM A STORMWATER INFILTRATION FACILITY TO GROUND WATER","WISCONSIN DEPARTMENT OF NATURAL","PDF","ARTICLE",NA,NA,NA,NA,"WRI.WISC.EDU",NA,2003,"ISI",NA,"none",NA,NA,"C DUNNING CD, 2003, ","C DUNNING CD, 2003, "
"DN WEBER DNW, 2004, ","DN WEBER DNW;R BANNERMAN RB","RELATIONSHIPS BETWEEN IMPERVIOUS SURFACES WITHIN A WATERSHED AND MEASURES OF REPRODUCTION IN FATHEAD MINNOWS (PIMEPHALES PROMELAS)","HYDROBIOLOGIA",NA,"ARTICLE",NA,NA,NA,NA,"SPRINGER",NA,2004,"ISI",NA,"none",NA,NA,"DN WEBER DNW, 2004, ","DN WEBER DNW, 2004, "
"JD WILCOX JDW, 2009, ","JD WILCOX JDW;JM BAHR JMB;CJ HEDMAN CJH;","REMOVAL OF ORGANIC WASTEWATER CONTAMINANTS IN SEPTIC SYSTEMS USING ADVANCED TREATMENT TECHNOLOGIES","JOURNAL OF",NA,"ARTICLE",NA,NA,NA,NA,"DL.SCIENCESOCIETIES.ORG",NA,2009,"ISI",NA,"none",NA,NA,"JD WILCOX JDW, 2009, ","JD WILCOX JDW, 2009, "
"RS STELZER RSS, 2012, ","RS STELZER RSS;LA BARTSCH LAB","NITRATE REMOVAL IN DEEP SEDIMENTS OF A NITROGENRICH RIVER NETWORK: A TEST OF A CONCEPTUAL MODEL","JOURNAL OF GEOPHYSICAL RESEARCH",NA,"ARTICLE",NA,NA,NA,NA,"WILEY ONLINE LIBRARY",NA,2012,"ISI",NA,"none",NA,NA,"RS STELZER RSS, 2012, ","RS STELZER RSS, 2012, "
"RS STELZER RSS, 2014, ","RS STELZER RSS;JT SCOTT JTS;LA BARTSCH LAB;TB PARR TBP","PARTICULATE ORGANIC MATTER QUALITY INFLUENCES NITRATE RETENTION AND DENITRIFICATION IN STREAM SEDIMENTS: EVIDENCE FROM A CARBON BURIAL EXPERIMENT","BIOGEOCHEMISTRY","HTML","ARTICLE",NA,NA,NA,NA,"SPRINGER",NA,2014,"ISI",NA,"none",NA,NA,"RS STELZER RSS, 2014, ","RS STELZER RSS, 2014, "
"RS STELZER RSS, 2014, -a","RS STELZER RSS;JT SCOTT JTS;LA BARTSCH LAB","BURIED PARTICULATE ORGANIC CARBON STIMULATES DENITRIFICATION AND NITRATE RETENTION IN STREAM SEDIMENTS AT THE GROUNDWATERSURFACE WATER INTERFACE","FRESHWATER SCIENCE",NA,"ARTICLE",NA,NA,NA,NA,"JOURNALS.UCHICAGO.EDU",NA,2014,"ISI",NA,"none",NA,NA,"RS STELZER RSS, 2014, ","RS STELZER RSS, 2014, -a"
"RS STELZER RSS, 2011, ","RS STELZER RSS;LA BARTSCH LAB;WB RICHARDSON WBR;","THE DARK SIDE OF THE HYPORHEIC ZONE: DEPTH PROFILES OF NITROGEN AND ITS PROCESSING IN STREAM SEDIMENTS","FRESHWATER",NA,"ARTICLE",NA,NA,NA,NA,"WILEY ONLINE LIBRARY",NA,2011,"ISI",NA,"none",NA,NA,"RS STELZER RSS, 2011, ","RS STELZER RSS, 2011, "
"S BARTSCH SB, 2013, ","S BARTSCH SB","MONSOONAL AFFECTED DYNAMICS OF NITRATE AND DISSOLVED ORGANIC CARBON IN A MOUNTAINOUS CATCHMENT UNDER INTENSIVE LAND-USE",NA,"PDF","BOOK",NA,NA,NA,NA,"CORE.AC.UK",NA,2013,"ISI",NA,"none",NA,NA,"S BARTSCH SB, 2013, ","S BARTSCH SB, 2013, "
"JR BATTISTA JRB, 1989, ","JR BATTISTA JRB;JP CONNELLY JPC","VOC CONTAMINATION AT SELECTED WISCONSIN LANDFILLS--SAMPLING RESULTS AND POLICY IMPLICATIONS",NA,"CITATION","MISC",NA,NA,NA,NA,NA,NA,1989,"ISI",NA,"none",NA,NA,"JR BATTISTA JRB, 1989, ","JR BATTISTA JRB, 1989, "
"JR BATTISTA JRB, 1994, ","JR BATTISTA JRB;JP CONNELLY JPC","VOCS AT WISCONSIN LANDFILLS: RECENT FINDINGS","","CITATION","ARTICLE",NA,NA,NA,NA,"DEPARTMENT OF ENGINEERING ",NA,1994,"ISI",NA,"none",NA,NA,"JR BATTISTA JRB, 1994, ","JR BATTISTA JRB, 1994, "
"EA SEAGREN EAS, 2002, ","EA SEAGREN EAS;JG BECKER JGB","REVIEW OF NATURAL ATTENUATION OF BTEX AND MTBE IN GROUNDWATER"," OF HAZARDOUS, TOXIC, AND RADIOACTIVE WASTE ",NA,"ARTICLE",NA,NA,NA,NA,"ASCELIBRARY.ORG",NA,2002,"ISI",NA,"none",NA,NA,"EA SEAGREN EAS, 2002, ","EA SEAGREN EAS, 2002, "
