Author,EndYear,Search Status,FullSearchStatus,,,315
Matthew Ruark,2012,,GS complete,,,
McWilliams,2012,,GS complete,Maria MacWilliams,,
R. Jackson,2012,,complete - no articles found,,,
Shangping Xu,2012,,complete,,,
C. Laboski,2013,,complete - no articles found,,,
J. Panuska,2013,,complete - no articles found,,,
J. Stewart,2013,,complete - no articles found,,,
M. Diebel,2013,,complete,,,
P. McIntyre,2013,,complete,,,
R. Larson,2013,,complete,,,
T. Scott,2013,,GS complete,J. Thad Scott,,
Christopher Kucharik,2012,,complete,,,
Michael Parsen,2014,,complete,,,
P. Gorski,2014,,complete - no articles found,Patrick Gorski,,
Kristen Malecki,2015,,complete,,,
Lathrop,2015,,Complete,Richard Lathrop,,
McDonald,2015,,complete,,,
Sorsa,2015,,complete,,,
Trina McMahon,2015,,can't find,,,
Christina Remucal,2016,,complete,,,
Christopher Choi,2016,,complete - no articles referencing GCC funding; articles found referenced WI geological natural history survey funding,,,
Greg Kleinheinz,2016,,complete  ,,,
James Tinjum,2016,,complete - no articles referencing GCC funding; articles found referenced WI geological natural history survey funding,,,
Jay Zambito,2016,,complete,,,
Kenneth Genskow,2016,,complete  ,,,
Matthew Ginder-Vogel,2016,,complete w/o Scopus,,,
Nilay Sheth,2016,,complete w/o WoS,,,
Patrick McLaughlin,2016,,complete w/o WoS,,,
Amy Nitka,2017,,complete w/o WoS,,,
Daniel Noguera,2017,,complete w/o WoS,,,
James A. LaGro,2017,,complete w/o WoS,,,
Michael Cardiff,2017,,complete w/o WoS,,,
Christopher Underwood,2018,,"complete w/o WoS - maybe one patent found, don't think we're keeping those",,,
Esther Stewart,2018,,complete - no articles found,,,
Evan Larson,2018,,complete - no articles found,,,
Laura Suppes,2018,,complete - found poster,,,
Noah Lottig,2018,,complete - no articles found,,,
Ryan Newton,2018,,complete  ,,,
David Bart,2019,,,I think this should be David Hart (which would be covered in a search with a start year much earlier than 2019),,
Eric Booth,2019,,complete - no articles found,,,
Philip Townsend,2019,,complete - no articles found,,,
Christine Polkinghorne,2020,,,,,
Florence Olson,2020,,,,,
Kelsey Prihoda,2020,,,,,
Thomas Markee,2020,,,,,
Yin Wang,2020,,,,,
Aldstadt,EndYear not listed,,,,,
Bussen,EndYear not listed,,,,,
Christensen,EndYear not listed,,,,,
Degnan,EndYear not listed,,,,,
Gianchandani,EndYear not listed,,,,,
Grant,EndYear not listed,,,,,
Carl Bowser,EndYear not listed,complete,,,,
Kussow,EndYear not listed,complete,,,,
Page,EndYear not listed,complete,,,1500,
Rabinowitz,EndYear not listed,complete,,,25,
Steuer,EndYear not listed,complete,,,5,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
